row_idx,AUC_P_Cell_death,AUC_P_Hepatocyte_injury,AUC_P_Inflammation
431,25508.067181240487,24329.43857421546,29562.882275825294
432,25508.06715265126,23236.729615751767,29562.882275695898
433,25508.067150836843,23236.729616602704,29562.882275778302
434,25662.397693736697,23236.752925430614,29562.882275721575
437,25632.812723389612,1412.83745422624,29562.882274653504
435,25662.397678352903,1412.8788755924577,29562.882275708056
436,25662.211280018615,1412.838344732455,29562.882275548596
438,25632.812681078292,1412.8374525092013,29562.882274674048
439,25632.352893310876,1412.8340640989513,29562.882274672316
440,25632.40108669059,1412.8346335551582,29562.88227466396
441,25632.401146713288,1412.83463773345,29562.882274687705
442,25632.40117465568,1412.8346348637644,29562.882274687196
443,25632.401168189088,1412.8346334873718,29562.88227438718
445,25632.401172909525,1416.7143125753469,29562.882274397845
444,25632.40117701098,1416.7143144295,29562.882274396703
446,25632.401175274405,1416.7143115147312,29562.88227438934
447,25632.40118364858,1416.714316126588,29562.882275209446
450,25349.734871879802,1416.2907821293081,29530.971295374628
449,25349.734869878863,1416.2907773725217,29530.971295369083
448,25349.734870610428,1416.2907807924805,29530.97129533103
451,25349.73487189711,1408.5144417854983,29530.9712953421
453,25349.73487381401,1403.0817475097328,29530.971295351053
452,25349.734870096996,1408.5144409026896,29530.97129534754
454,24852.323746446986,1402.3666570515793,29463.52641365398
455,24852.323743658668,1402.3666572882912,29463.52641367299
456,24852.32374362822,1402.3666578892435,29463.526413696545
457,24852.293646584738,1402.3628749007962,29463.526413686493
458,24852.293641068463,1402.3628742585313,29463.5264138491
459,24852.32480244965,1402.367089352197,29463.526413849984
461,23611.854066084717,1400.942417140841,29276.093135091985
462,23611.85399387071,1400.9424176810544,29276.09313509228
460,23611.854092311598,1400.9424173819884,29276.093135155184
463,23611.854000811116,1400.9424179323037,29309.25451342517
464,23612.888528190873,1400.9693685022053,29309.2545134252
465,23612.888528195195,1400.9693684863287,29309.2545134118
466,23612.888528195195,1400.9693684863287,29309.2545134118
467,23612.888559013318,1400.9693667395609,29148.925697670384
469,27982.02907617299,1429.447840143935,29148.92569634968
468,23612.888459850285,1420.8053762229165,29148.92569628614
470,27982.029075712828,1438.0398295998798,29148.92569694244
471,27992.7351154393,1438.0403284108806,29148.925697857674
472,29089.54118851845,28910.87735923162,27323.615743033923
473,29089.541188672636,28911.33593276277,27323.61574494948
474,29124.5515706419,28918.090874360405,27512.39745913625
475,29124.55157026068,27383.292729318375,27512.397465961963
477,29124.551570270745,27383.292727090888,27512.397464231035
478,29124.551570682852,27394.036311615637,27512.397465420094
476,29124.55157034171,27383.292728992503,27512.397465898088
479,29124.551570567277,26949.09261940908,27512.39747191911
480,29124.551570625095,26798.037844292,27512.397463266403
481,29124.551570664924,26798.037844410475,27512.397473927063
482,29124.551570743388,26798.037841564263,27512.3974682779
483,29124.55157074256,26798.037807665234,28343.36545823169
486,29124.755919044073,26798.145813543193,28343.365458242035
485,29124.755919057992,26798.14581536437,28343.36545967115
484,29124.55157074379,26798.037807705296,28343.365458231292
487,29124.755919052775,26798.145816935605,28343.365458866763
490,28442.688750866393,26797.923061954512,28343.36546024258
491,28442.68875086617,26797.923087233718,28343.36546025476
